#OTU ID,ctl-leaves,ctl-roots,ext-negative,inoc-leaves,inoc-roots,inoc-source,pcr-neg,pcr-pos
OTU97_1,0,0,5,10,24,4,0,117370
OTU97_10,0,1869,766,5962,107,342,0,0
OTU97_100,0,0,0,65,0,0,0,0
OTU97_101,0,0,0,0,0,65,0,0
OTU97_102,0,0,0,0,0,64,0,0
OTU97_103,0,0,0,0,0,63,0,0
OTU97_104,0,0,0,61,0,0,0,0
OTU97_105,0,0,0,57,30,44,0,0
OTU97_106,0,0,0,0,18,51,0,0
OTU97_107,0,0,0,0,0,51,0,0
OTU97_108,0,0,0,0,0,51,0,0
OTU97_109,0,0,0,0,0,51,0,0
OTU97_11,0,0,0,354,5199,13,0,0
OTU97_110,0,0,0,48,0,50,0,0
OTU97_111,0,0,0,0,0,50,0,0
OTU97_112,0,0,0,47,13,4,0,0
OTU97_113,0,0,0,0,0,47,0,0
OTU97_114,0,0,0,0,46,3,0,0
OTU97_115,0,0,0,0,0,46,0,0
OTU97_116,0,0,0,0,2,46,0,0
OTU97_117,0,0,0,0,0,44,0,0
OTU97_118,0,0,0,0,9,42,0,0
OTU97_119,0,0,0,0,0,42,0,0
OTU97_12,0,0,0,5061,49,10,0,0
OTU97_120,0,0,0,0,12,41,0,0
OTU97_121,0,0,0,0,0,40,0,0
OTU97_122,0,0,0,0,0,40,0,0
OTU97_123,0,0,0,0,51,0,0,0
OTU97_124,0,0,0,0,0,37,0,0
OTU97_125,0,0,0,0,0,37,0,0
OTU97_126,6,0,0,0,0,0,0,36
OTU97_127,0,0,0,0,0,36,0,0
OTU97_128,0,0,0,0,0,36,0,0
OTU97_129,0,0,0,0,0,35,0,0
OTU97_13,0,0,0,292,0,5139,0,0
OTU97_130,0,0,0,0,0,33,0,0
OTU97_131,0,0,0,0,0,32,0,0
OTU97_132,0,0,0,0,0,31,0,0
OTU97_133,0,0,0,0,0,31,0,0
OTU97_134,0,0,0,0,0,31,0,0
OTU97_135,0,0,0,0,0,30,0,0
OTU97_136,0,0,0,0,0,30,0,0
OTU97_137,0,0,0,0,0,30,0,0
OTU97_138,0,0,0,0,0,30,0,0
OTU97_139,0,0,0,29,0,15,0,0
OTU97_14,0,0,0,4002,854,31,0,0
OTU97_140,0,0,0,0,0,29,0,0
OTU97_141,0,0,0,0,0,44,0,0
OTU97_142,0,0,0,0,0,29,0,0
OTU97_143,0,0,0,0,0,0,0,29
OTU97_144,0,0,0,28,0,0,0,0
OTU97_145,0,0,0,0,0,28,0,0
OTU97_146,0,0,0,0,0,28,0,0
OTU97_147,0,0,0,0,0,28,0,0
OTU97_148,0,0,0,0,0,27,0,0
OTU97_149,0,0,0,0,0,26,0,0
OTU97_15,0,0,0,304,3479,346,0,0
OTU97_150,0,0,0,0,20,25,0,0
OTU97_151,0,0,0,0,0,0,0,24
OTU97_152,0,0,0,0,23,0,0,0
OTU97_153,0,0,0,0,0,23,0,0
OTU97_154,0,0,0,0,0,23,0,0
OTU97_155,0,0,0,0,0,23,0,0
OTU97_156,0,0,0,0,0,23,0,0
OTU97_157,0,0,0,0,0,23,0,0
OTU97_158,0,0,0,0,0,23,0,0
OTU97_159,0,0,0,0,11,22,0,0
OTU97_16,1344,3222,1820,1019,164,8,0,0
OTU97_160,0,0,0,0,8,22,0,0
OTU97_161,0,0,0,0,0,33,0,0
OTU97_162,0,0,0,0,0,37,0,0
OTU97_163,0,0,0,0,0,22,0,0
OTU97_164,0,0,0,0,0,22,0,0
OTU97_165,0,0,0,0,0,22,0,0
OTU97_166,0,0,0,0,0,22,0,0
OTU97_167,0,0,0,0,0,22,0,0
OTU97_168,0,0,0,0,0,0,0,22
OTU97_169,0,0,0,21,0,4,0,0
OTU97_17,0,0,0,0,2358,0,0,0
OTU97_170,0,0,0,0,0,21,0,0
OTU97_171,0,0,0,0,0,21,0,0
OTU97_172,0,0,0,0,20,6,0,0
OTU97_173,0,0,0,0,0,37,0,0
OTU97_174,0,0,0,0,0,20,0,0
OTU97_175,0,0,0,0,0,20,0,0
OTU97_176,0,0,0,0,0,20,0,0
OTU97_177,0,0,0,0,0,20,0,0
OTU97_178,0,0,0,0,0,20,0,0
OTU97_179,0,0,0,0,0,20,0,0
OTU97_18,0,2206,585,554,0,0,0,0
OTU97_180,0,0,0,0,0,20,0,0
OTU97_181,0,0,0,0,0,20,0,0
OTU97_182,0,0,0,0,0,19,0,0
OTU97_183,0,0,0,0,0,19,0,0
OTU97_184,0,0,0,0,0,19,0,0
OTU97_185,0,0,0,0,7,19,0,0
OTU97_186,0,0,0,0,18,0,0,0
OTU97_187,0,0,0,0,0,18,0,0
OTU97_188,0,0,0,0,0,18,0,0
OTU97_189,0,0,0,0,0,18,0,0
OTU97_19,1961,0,0,598,12,45,0,0
OTU97_190,0,0,0,0,0,18,0,0
OTU97_191,0,0,0,0,0,18,0,0
OTU97_192,0,0,0,0,0,18,0,0
OTU97_193,0,0,0,0,0,18,0,0
OTU97_194,0,0,0,0,17,0,0,0
OTU97_195,0,0,0,0,0,17,0,0
OTU97_196,0,0,0,0,0,17,0,0
OTU97_197,0,0,0,0,0,17,0,0
OTU97_198,0,0,0,0,0,17,0,0
OTU97_199,0,0,0,0,14,16,0,0
OTU97_2,81,5,379,10825,65280,950,0,6
OTU97_20,0,0,0,1793,0,179,0,0
OTU97_200,0,0,0,0,0,16,0,0
OTU97_201,0,0,0,0,0,16,0,0
OTU97_202,0,0,0,0,0,16,0,0
OTU97_203,0,0,0,15,0,0,0,0
OTU97_204,0,0,0,0,0,15,0,0
OTU97_205,0,0,0,0,0,15,0,0
OTU97_206,0,0,0,0,0,15,0,0
OTU97_207,0,0,0,0,0,15,0,0
OTU97_208,0,0,0,0,0,15,0,0
OTU97_209,0,0,0,0,0,15,0,0
OTU97_21,1641,925,1029,1008,103,24,0,0
OTU97_210,0,0,0,0,0,15,0,0
OTU97_211,0,0,0,0,0,15,0,0
OTU97_212,0,0,0,0,0,14,0,0
OTU97_213,0,0,0,0,0,14,0,0
OTU97_214,0,0,0,0,0,14,0,0
OTU97_215,0,0,0,0,0,14,0,0
OTU97_216,0,0,0,0,0,14,0,0
OTU97_217,0,0,0,0,0,14,0,0
OTU97_218,0,0,0,0,0,13,0,0
OTU97_219,0,0,0,0,0,13,0,0
OTU97_22,503,447,0,1233,13,15,0,0
OTU97_220,0,0,0,0,0,13,0,0
OTU97_221,0,0,0,0,0,13,0,0
OTU97_222,0,0,0,0,0,13,0,0
OTU97_223,0,0,0,0,0,13,0,0
OTU97_224,0,0,0,0,0,13,0,0
OTU97_225,0,0,0,0,0,12,0,0
OTU97_226,0,0,0,0,0,12,0,0
OTU97_227,0,0,0,0,0,12,0,0
OTU97_228,0,0,0,0,0,12,0,0
OTU97_229,0,0,0,0,0,12,0,0
OTU97_23,0,1208,0,0,46,30,0,0
OTU97_230,0,0,0,0,0,12,0,0
OTU97_231,0,0,0,0,0,12,0,0
OTU97_232,0,0,0,0,11,0,0,0
OTU97_233,0,0,0,0,11,0,0,0
OTU97_234,0,0,0,0,0,11,0,0
OTU97_235,0,0,0,0,0,11,0,0
OTU97_236,0,0,0,0,0,11,0,0
OTU97_237,0,0,0,0,0,11,0,0
OTU97_238,0,0,0,0,0,11,0,0
OTU97_239,0,0,0,0,0,11,0,0
OTU97_24,0,0,0,0,0,2130,0,0
OTU97_240,0,0,0,0,0,11,0,0
OTU97_241,0,0,0,0,2,10,0,0
OTU97_242,0,0,0,0,0,10,0,0
OTU97_243,0,0,0,0,0,10,0,0
OTU97_244,0,0,0,0,0,10,0,0
OTU97_245,0,0,0,0,0,10,0,0
OTU97_246,0,0,0,0,0,10,0,0
OTU97_247,0,0,0,0,0,10,0,0
OTU97_248,0,0,0,0,0,10,0,0
OTU97_249,0,0,0,0,0,10,0,0
OTU97_25,0,1189,0,521,4,40,0,0
OTU97_250,0,0,0,0,0,10,0,0
OTU97_251,0,0,0,0,9,5,0,0
OTU97_252,0,0,0,0,9,0,0,0
OTU97_253,0,0,0,0,0,9,0,0
OTU97_254,0,0,0,0,0,9,0,0
OTU97_255,0,0,0,0,0,9,0,0
OTU97_256,0,0,0,0,0,9,0,0
OTU97_257,0,0,0,0,0,9,0,0
OTU97_258,0,0,0,0,0,9,0,0
OTU97_259,0,0,0,0,0,9,0,0
OTU97_26,1149,0,0,0,0,0,0,0
OTU97_260,0,0,0,0,0,9,0,0
OTU97_261,0,0,0,0,0,9,0,0
OTU97_262,0,0,0,0,0,9,0,0
OTU97_263,0,0,0,0,0,9,0,0
OTU97_264,0,0,0,0,0,9,0,0
OTU97_265,0,0,0,0,0,9,0,0
OTU97_266,0,0,0,0,0,9,0,0
OTU97_267,0,0,0,0,0,9,0,0
OTU97_268,0,0,0,0,8,0,0,0
OTU97_269,0,0,0,0,8,0,0,0
OTU97_27,0,1081,0,0,0,0,0,0
OTU97_270,0,0,0,0,8,0,0,0
OTU97_271,0,0,0,0,0,8,0,0
OTU97_272,0,0,0,0,0,8,0,0
OTU97_273,0,0,0,0,0,8,0,0
OTU97_274,0,0,0,0,0,8,0,0
OTU97_275,0,0,0,0,0,8,0,0
OTU97_276,0,0,0,0,0,8,0,0
OTU97_277,0,0,0,0,0,8,0,0
OTU97_278,0,0,0,0,0,8,0,0
OTU97_279,0,0,0,0,0,8,0,0
OTU97_28,0,0,0,0,1052,0,0,0
OTU97_280,0,0,0,0,0,8,0,0
OTU97_281,0,0,0,0,0,8,0,0
OTU97_282,0,0,0,0,0,8,0,0
OTU97_283,0,0,0,0,0,8,0,0
OTU97_284,0,0,0,0,0,8,0,0
OTU97_285,0,0,0,0,7,0,0,0
OTU97_286,0,0,0,0,7,0,0,0
OTU97_287,0,0,0,0,7,0,0,0
OTU97_288,0,0,0,0,0,7,0,0
OTU97_289,0,0,0,0,0,7,0,0
OTU97_29,0,0,0,202,4,1020,0,2
OTU97_290,0,0,0,0,0,7,0,0
OTU97_291,0,0,0,0,0,7,0,0
OTU97_292,0,0,0,0,0,7,0,0
OTU97_293,0,0,0,0,0,7,0,0
OTU97_294,0,0,0,0,0,7,0,0
OTU97_295,0,0,0,0,0,7,0,0
OTU97_296,0,0,0,0,0,7,0,0
OTU97_297,0,0,0,0,0,7,0,0
OTU97_298,0,0,0,0,0,7,0,0
OTU97_299,0,0,0,0,0,7,0,0
OTU97_3,1037,5316,2855,57681,127,32,0,0
OTU97_30,0,0,0,0,0,1067,0,0
OTU97_300,0,0,0,0,0,7,0,0
OTU97_301,0,0,0,0,0,7,0,0
OTU97_302,0,0,0,0,0,7,0,0
OTU97_303,0,0,0,0,0,7,0,0
OTU97_304,0,0,0,0,0,7,0,0
OTU97_305,0,0,0,0,6,0,0,0
OTU97_306,0,0,0,0,6,0,0,0
OTU97_307,0,0,0,0,0,6,0,0
OTU97_308,0,0,0,0,0,6,0,0
OTU97_309,0,0,0,0,0,6,0,0
OTU97_31,0,878,0,0,0,0,0,0
OTU97_310,0,0,0,0,0,6,0,0
OTU97_311,0,0,0,0,0,6,0,0
OTU97_312,0,0,0,0,0,6,0,0
OTU97_313,0,0,0,0,0,6,0,0
OTU97_314,0,0,0,0,0,6,0,0
OTU97_315,0,0,0,0,0,6,0,0
OTU97_316,0,0,0,0,0,6,0,0
OTU97_317,0,0,0,0,0,6,0,0
OTU97_318,0,0,0,0,0,6,0,0
OTU97_319,0,0,0,0,0,6,0,0
OTU97_32,0,0,0,874,0,29,0,0
OTU97_320,0,0,0,0,0,6,0,0
OTU97_321,0,0,0,0,0,6,0,0
OTU97_322,0,0,0,0,0,0,0,6
OTU97_323,0,0,0,0,5,0,0,0
OTU97_324,0,0,0,0,0,5,0,0
OTU97_325,0,0,0,0,0,5,0,0
OTU97_326,0,0,0,0,0,5,0,0
OTU97_327,0,0,0,0,0,5,0,0
OTU97_328,0,0,0,0,0,5,0,0
OTU97_329,0,0,0,0,0,5,0,0
OTU97_33,0,0,0,0,794,26,0,0
OTU97_330,0,0,0,0,0,5,0,0
OTU97_331,0,0,0,0,0,5,0,0
OTU97_332,0,0,0,0,0,5,0,0
OTU97_333,0,0,0,0,0,5,0,0
OTU97_334,0,0,0,0,0,5,0,0
OTU97_335,0,0,0,0,0,5,0,0
OTU97_336,0,0,0,0,0,5,0,0
OTU97_337,0,0,0,0,0,5,0,0
OTU97_338,0,0,0,0,0,5,0,0
OTU97_339,0,0,0,0,0,5,0,0
OTU97_34,0,0,0,748,0,302,0,0
OTU97_340,0,0,0,0,0,5,0,0
OTU97_341,0,0,0,0,0,5,0,0
OTU97_342,0,0,0,0,0,5,0,0
OTU97_343,0,0,0,0,0,5,0,0
OTU97_344,0,0,0,0,0,5,0,0
OTU97_345,0,0,0,0,0,5,0,0
OTU97_346,0,0,0,0,0,5,0,0
OTU97_347,0,0,0,0,0,4,0,0
OTU97_348,0,0,0,0,0,4,0,0
OTU97_349,0,0,0,0,0,4,0,0
OTU97_35,730,0,0,0,0,0,0,0
OTU97_350,0,0,0,0,0,4,0,0
OTU97_351,0,0,0,0,0,4,0,0
OTU97_352,0,0,0,0,0,4,0,0
OTU97_353,0,0,0,0,0,4,0,0
OTU97_354,0,0,0,0,0,4,0,0
OTU97_355,0,0,0,0,0,4,0,0
OTU97_356,0,0,0,0,0,4,0,0
OTU97_357,0,0,0,0,0,4,0,0
OTU97_358,0,0,0,0,0,4,0,0
OTU97_359,0,0,0,0,0,4,0,0
OTU97_36,0,0,0,313,67,903,0,0
OTU97_360,0,0,0,0,0,4,0,0
OTU97_361,0,0,0,0,0,4,0,0
OTU97_362,0,0,0,0,0,4,0,0
OTU97_363,0,0,0,0,0,4,0,0
OTU97_364,0,0,0,0,0,4,0,0
OTU97_365,0,0,0,0,0,4,0,0
OTU97_366,0,0,0,0,0,4,0,0
OTU97_367,0,0,0,0,0,4,0,0
OTU97_368,0,0,0,0,0,4,0,0
OTU97_369,0,0,0,0,0,4,0,0
OTU97_37,0,0,0,0,12,647,0,0
OTU97_370,0,0,0,0,0,4,0,0
OTU97_371,0,0,0,0,0,4,0,0
OTU97_372,0,0,0,0,0,4,0,0
OTU97_373,0,0,0,0,3,0,0,0
OTU97_374,0,0,0,0,3,0,0,0
OTU97_375,0,0,0,0,3,0,0,0
OTU97_376,0,0,0,0,3,0,0,0
OTU97_377,0,0,0,0,0,3,0,0
OTU97_378,0,0,0,0,0,3,0,0
OTU97_379,0,0,0,0,0,3,0,0
OTU97_38,519,642,194,0,62,13,0,0
OTU97_380,0,0,0,0,0,3,0,0
OTU97_381,0,0,0,0,0,3,0,0
OTU97_382,0,0,0,0,0,3,0,0
OTU97_383,0,0,0,0,0,3,0,0
OTU97_384,0,0,0,0,0,3,0,0
OTU97_385,0,0,0,0,0,3,0,0
OTU97_386,0,0,0,0,0,3,0,0
OTU97_387,0,0,0,0,0,3,0,0
OTU97_388,0,0,0,0,0,3,0,0
OTU97_389,0,0,0,0,0,3,0,0
OTU97_39,0,0,0,0,0,0,642,0
OTU97_390,0,0,0,0,0,3,0,0
OTU97_391,0,0,0,0,0,3,0,0
OTU97_392,0,0,0,0,0,3,0,0
OTU97_393,0,0,0,0,0,3,0,0
OTU97_394,0,0,0,0,0,3,0,0
OTU97_395,0,0,0,0,2,0,0,0
OTU97_396,0,0,0,0,2,0,0,0
OTU97_397,0,0,0,0,2,0,0,0
OTU97_398,0,0,0,0,0,2,0,0
OTU97_399,0,0,0,0,0,2,0,0
OTU97_4,0,0,2,5872,37,26069,0,0
OTU97_40,0,0,0,0,0,616,0,0
OTU97_400,0,0,0,0,0,2,0,0
OTU97_401,0,0,0,0,0,2,0,0
OTU97_402,0,0,0,0,0,2,0,0
OTU97_403,0,0,0,0,0,2,0,0
OTU97_404,0,0,0,0,0,2,0,0
OTU97_405,0,0,0,0,0,2,0,0
OTU97_406,0,0,0,0,0,2,0,0
OTU97_407,0,0,0,0,0,2,0,0
OTU97_408,0,0,0,0,0,2,0,0
OTU97_409,0,0,0,0,0,2,0,0
OTU97_41,0,0,0,597,515,0,0,0
OTU97_42,0,0,530,0,0,0,0,0
OTU97_43,0,0,0,0,10,481,0,0
OTU97_44,466,0,0,114,0,0,0,0
OTU97_45,0,0,0,456,0,0,0,0
OTU97_46,0,0,0,0,45,433,0,0
OTU97_47,0,423,0,0,0,0,0,0
OTU97_48,0,0,0,0,0,409,0,0
OTU97_49,0,0,0,0,0,350,0,0
OTU97_5,0,2118,519,20225,93,17,0,0
OTU97_50,0,0,0,0,0,535,0,0
OTU97_51,0,0,0,0,17,659,0,0
OTU97_52,0,0,0,327,6,0,0,0
OTU97_53,0,0,0,0,0,292,0,0
OTU97_54,0,736,0,158,0,0,0,0
OTU97_55,0,0,0,286,0,78,0,0
OTU97_56,0,0,0,0,0,279,0,0
OTU97_57,0,0,0,54,11,495,0,0
OTU97_58,0,0,0,0,269,4,0,0
OTU97_59,0,0,0,0,0,263,0,0
OTU97_6,0,0,0,0,0,6632,0,0
OTU97_60,0,0,0,239,0,236,0,0
OTU97_61,0,0,0,0,0,228,0,0
OTU97_62,0,0,0,112,224,7,0,0
OTU97_63,0,0,0,211,0,9,0,0
OTU97_64,0,0,0,0,0,203,0,0
OTU97_65,0,0,0,95,9,201,0,0
OTU97_66,0,0,0,0,85,235,0,0
OTU97_67,0,0,0,171,0,120,0,0
OTU97_68,0,0,0,0,165,5,0,0
OTU97_69,0,0,0,0,0,152,0,0
OTU97_7,0,0,0,0,6400,26,0,0
OTU97_70,0,0,0,0,0,151,0,0
OTU97_71,0,0,0,0,7,146,0,0
OTU97_72,0,0,0,0,0,144,0,0
OTU97_73,0,0,0,0,0,139,0,0
OTU97_74,0,0,0,0,120,0,0,0
OTU97_75,0,0,0,116,0,0,0,0
OTU97_76,0,0,0,0,4,112,0,0
OTU97_77,0,0,0,0,5,106,0,0
OTU97_78,0,0,0,104,0,61,0,0
OTU97_79,0,0,0,0,0,196,0,0
OTU97_8,0,0,0,5929,0,0,0,0
OTU97_80,0,0,0,0,9,102,0,0
OTU97_81,0,0,0,0,0,100,0,0
OTU97_82,0,0,0,0,0,99,0,0
OTU97_83,0,0,0,0,0,94,0,0
OTU97_84,0,0,0,0,0,93,0,0
OTU97_85,0,0,0,0,0,90,0,0
OTU97_86,0,0,0,0,0,3,0,85
OTU97_87,0,0,0,0,0,83,0,0
OTU97_88,0,0,0,0,2,155,0,0
OTU97_89,0,0,0,0,0,79,0,0
OTU97_9,0,0,0,1541,6417,2183,0,2
OTU97_90,0,0,0,0,0,79,0,0
OTU97_91,0,0,0,0,0,78,0,0
OTU97_92,0,0,0,0,0,112,0,0
OTU97_93,0,0,0,0,0,119,0,0
OTU97_94,0,0,0,0,72,15,0,0
OTU97_95,0,0,0,0,0,72,0,0
OTU97_96,0,0,0,0,0,71,0,0
OTU97_97,0,0,0,0,0,67,0,0
OTU97_98,0,0,0,33,0,66,0,0
OTU97_99,0,0,0,42,0,65,0,0
